,cnae_code,ativ_desc,description,code_description
23,119999,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,Cultivation of other temporary crop plants not previously specified,119999 - Cultivation of other temporary crop plants not previously specified
24,121101,"Horticultura, exceto morango",Horticulture except strawberry,121101 - Horticulture except strawberry
25,121102,Cultivo de morango,Strawberry cultivation,121102 - Strawberry cultivation
26,122900,Cultivo de flores e plantas ornamentais,Cultivation of flowers and ornamental plants,122900 - Cultivation of flowers and ornamental plants
27,131800,Cultivo de laranja,orange cultivation,131800 - orange cultivation
28,132600,Cultivo de uva,Grape cultivation,132600 - Grape cultivation
29,133401,Cultivo de açaí,Açaí cultivation,133401 - Açaí cultivation
30,133402,Cultivo de banana,banana cultivation,133402 - banana cultivation
31,133403,Cultivo de caju,cashew cultivation,133403 - cashew cultivation
32,133404,"Cultivo de cítricos, exceto laranja","Cultivation of citrus, except orange","133404 - Cultivation of citrus, except orange"
33,133405,Cultivo de coco-da-baía,Coconut cultivation,133405 - Coconut cultivation
34,133406,Cultivo de guaraná,Guarana cultivation,133406 - Guarana cultivation
35,133407,Cultivo de maçã,apple cultivation,133407 - apple cultivation
36,133408,Cultivo de mamão,papaya cultivation,133408 - papaya cultivation
37,133409,Cultivo de maracujá,Passion fruit cultivation,133409 - Passion fruit cultivation
38,133410,Cultivo de manga,Sleeve cultivation,133410 - Sleeve cultivation
39,133411,Cultivo de pêssego,peach cultivation,133411 - peach cultivation
40,133499,Cultivo de frutas de lavoura permanente não especificadas anteriormente,Growing permanent crop fruits not previously specified,133499 - Growing permanent crop fruits not previously specified
41,134200,Cultivo de café,Coffee growing,134200 - Coffee growing
42,135100,Cultivo de cacau,cocoa cultivation,135100 - cocoa cultivation
43,139301,Cultivo de chá-da-índia,Indian tea cultivation,139301 - Indian tea cultivation
44,139302,Cultivo de erva-mate,Cultivation of erva-mate,139302 - Cultivation of erva-mate
45,139303,Cultivo de pimenta-do-reino,Black pepper cultivation,139303 - Black pepper cultivation
46,139304,"Cultivo de plantas para condimento, exceto pimenta-do-reino","Growing plants for condiment, except black pepper","139304 - Growing plants for condiment, except black pepper"
47,139305,Cultivo de dendê,Oil palm cultivation,139305 - Oil palm cultivation
48,139306,Cultivo de seringueira,rubber tree cultivation,139306 - rubber tree cultivation
49,139399,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,Cultivation of other permanent crop plants not previously specified,139399 - Cultivation of other permanent crop plants not previously specified
50,141501,"Produção de sementes certificadas, exceto de forrageiras para pasto","Production of certified seeds, except for forage for pasture","141501 - Production of certified seeds, except for forage for pasture"
51,141502,Produção de sementes certificadas de forrageiras para formação de pasto,Production of certified forage seeds for pasture formation,141502 - Production of certified forage seeds for pasture formation
52,142300,"Produção de mudas e outras formas de propagação vegetal, certificadas",Production of certified seedlings and other forms of plant propagation,142300 - Production of certified seedlings and other forms of plant propagation
53,151201,Criação de bovinos para corte,Raising beef cattle,151201 - Raising beef cattle
54,151202,Criação de bovinos para leite,Cattle breeding for milk,151202 - Cattle breeding for milk
55,151203,"Criação de bovinos, exceto para corte e leite","Cattle breeding, except for meat and milk","151203 - Cattle breeding, except for meat and milk"
56,152101,Criação de bufalinos,Breeding buffaloes,152101 - Breeding buffaloes
57,152102,Criação de eqüinos,Horse breeding,152102 - Horse breeding
58,152103,Criação de asininos e muares,Breeding donkeys and mules,152103 - Breeding donkeys and mules
59,153901,Criação de caprinos,Goat breeding,153901 - Goat breeding
60,153902,"Criação de ovinos, inclusive para produção de lã","Sheep breeding, including for wool production","153902 - Sheep breeding, including for wool production"
61,154700,Criação de suínos,Pig breeding,154700 - Pig breeding
62,155501,Criação de frangos para corte,Broiler breeding,155501 - Broiler breeding
63,155502,Produção de pintos de um dia,Day-old chick production,155502 - Day-old chick production
64,155503,"Criação de outros galináceos, exceto para corte","Breeding other chickens, except for cutting","155503 - Breeding other chickens, except for cutting"
65,155504,"Criação de aves, exceto galináceos",Breeding birds other than chickens,155504 - Breeding birds other than chickens
66,155505,Produção de ovos,Egg production,155505 - Egg production
67,159801,Apicultura,Beekeeping,159801 - Beekeeping
68,159802,Criação de animais de estimação,raising pets,159802 - raising pets
69,159803,Criação de escargô,Escargot breeding,159803 - Escargot breeding
70,159804,Criação de bicho-da-seda,Silkworm breeding,159804 - Silkworm breeding
71,159899,Criação de outros animais não especificados anteriormente,Breeding other animals not previously specified,159899 - Breeding other animals not previously specified
72,161001,Serviço de pulverização e controle de pragas agrícolas,Agricultural pest control and spraying service,161001 - Agricultural pest control and spraying service
73,161002,Serviço de poda de árvores para lavouras,Tree pruning service for crops,161002 - Tree pruning service for crops
74,161003,"Serviço de preparação de terreno, cultivo e colheita","Land preparation, cultivation and harvesting service","161003 - Land preparation, cultivation and harvesting service"
75,161099,Atividades de apoio à agricultura não especificadas anteriormente,Agricultural support activities not previously specified,161099 - Agricultural support activities not previously specified
76,162801,Serviço de inseminação artificial em animais,Animal Artificial Insemination Service,162801 - Animal Artificial Insemination Service
77,162802,Serviço de tosquiamento de ovinos,Sheep Shearing Service,162802 - Sheep Shearing Service
78,162803,Serviço de manejo de animais,animal handling service,162803 - animal handling service
79,162899,Atividades de apoio à pecuária não especificadas anteriormente,Livestock support activities not previously specified,162899 - Livestock support activities not previously specified
80,163600,Atividades de pós-colheita,Post-harvest activities,163600 - Post-harvest activities
81,170900,Caça e serviços relacionados,Hunting and related services,170900 - Hunting and related services
82,210101,Cultivo de eucalipto,Eucalyptus cultivation,210101 - Eucalyptus cultivation
83,210102,Cultivo de acácia-negra,Black wattle cultivation,210102 - Black wattle cultivation
84,210103,Cultivo de pinus,Pinus cultivation,210103 - Pinus cultivation
85,210104,Cultivo de teca,Teak cultivation,210104 - Teak cultivation
86,210105,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca","Cultivation of wood species, except eucalyptus, black wattle, pine and teak","210105 - Cultivation of wood species, except eucalyptus, black wattle, pine and teak"
87,210106,Cultivo de mudas em viveiros florestais,Seedling cultivation in forest nurseries,210106 - Seedling cultivation in forest nurseries
88,210107,Extração de madeira em florestas plantadas,Logging in planted forests,210107 - Logging in planted forests
89,210108,Produção de carvão vegetal - florestas plantadas,Charcoal production - planted forests,210108 - Charcoal production - planted forests
90,210109,Produção de casca de acácia-negra - florestas plantadas,Black wattle bark production - planted forests,210109 - Black wattle bark production - planted forests
91,210199,Produção de produtos não-madeireiros não especificados anteriormente em florestas plantadas,Production of non-wood products not specified above in planted forests,210199 - Production of non-wood products not specified above in planted forests
92,220901,Extração de madeira em florestas nativas,Logging in native forests,220901 - Logging in native forests
93,220902,Produção de carvão vegetal - florestas nativas,Charcoal production - native forests,220902 - Charcoal production - native forests
94,220903,Coleta de castanha-do-pará em florestas nativas,Brazil nut collection in native forests,220903 - Brazil nut collection in native forests
95,220904,Coleta de látex em florestas nativas,Latex collection in native forests,220904 - Latex collection in native forests
96,220905,Coleta de palmito em florestas nativas,Palm heart collection in native forests,220905 - Palm heart collection in native forests
97,220906,Conservação de florestas nativas,Conservation of native forests,220906 - Conservation of native forests
98,220999,Coleta de produtos não-madeireiros não especificados anteriormente em florestas nativas,Collection of non-timber products not otherwise specified in native forests,220999 - Collection of non-timber products not otherwise specified in native forests
99,230600,Atividades de apoio à produção florestal,Forestry production support activities,230600 - Forestry production support activities
100,311601,Pesca de peixes em água salgada,Fishing for fish in salt water,311601 - Fishing for fish in salt water
101,311602,Pesca de crustáceos e moluscos em água salgada,Fishing for crustaceans and molluscs in salt water,311602 - Fishing for crustaceans and molluscs in salt water
102,311603,Coleta de outros produtos marinhos,Collection of other marine products,311603 - Collection of other marine products
103,311604,Atividades de apoio à pesca em água salgada,Support activities for saltwater fishing,311604 - Support activities for saltwater fishing
104,312401,Pesca de peixes em água doce,Freshwater fish fishing,312401 - Freshwater fish fishing
105,312402,Pesca de crustáceos e moluscos em água doce,Freshwater Crustacean and Mollusc Fishing,312402 - Freshwater Crustacean and Mollusc Fishing
106,312403,Coleta de outros produtos aquáticos de água doce,Collection of other freshwater aquatic products,312403 - Collection of other freshwater aquatic products
107,312404,Atividades de apoio à pesca em água doce,Support activities for freshwater fishing,312404 - Support activities for freshwater fishing
108,321301,Criação de peixes em água salgada e salobra,Fish farming in salt and brackish water,321301 - Fish farming in salt and brackish water
109,321302,Criação de camarões em água salgada e salobra,Shrimp farming in salt and brackish water,321302 - Shrimp farming in salt and brackish water
110,321303,Criação de ostras e mexilhões em água salgada e salobra,Raising oysters and mussels in salty and brackish water,321303 - Raising oysters and mussels in salty and brackish water
111,321304,Criação de peixes ornamentais em água salgada e salobra,Raising ornamental fish in salt and brackish water,321304 - Raising ornamental fish in salt and brackish water
112,321305,Atividades de apoio à aqüicultura em água salgada e salobra,Support activities for aquaculture in salt and brackish water,321305 - Support activities for aquaculture in salt and brackish water
113,321399,Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente,Crops and semi-cultures of salt and brackish water aquaculture not otherwise specified,321399 - Crops and semi-cultures of salt and brackish water aquaculture not otherwise specified
114,322101,Criação de peixes em água doce,Freshwater fish farming,322101 - Freshwater fish farming
115,322102,Criação de camarões em água doce,Freshwater shrimp farming,322102 - Freshwater shrimp farming
116,322103,Criação de ostras e mexilhões em água doce,Breeding oysters and mussels in fresh water,322103 - Breeding oysters and mussels in fresh water
117,322104,Criação de peixes ornamentais em água doce,Freshwater ornamental fish farming,322104 - Freshwater ornamental fish farming
118,322105,Ranicultura,Ranicultura,322105 - Ranicultura
119,322106,Criação de jacaré,Alligator Breeding,322106 - Alligator Breeding
120,322107,Atividades de apoio à aqüicultura em água doce,Support activities for freshwater aquaculture,322107 - Support activities for freshwater aquaculture
121,322199,Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente,Crops and semi-cultures of freshwater aquaculture not otherwise specified,322199 - Crops and semi-cultures of freshwater aquaculture not otherwise specified
122,500301,Extração de carvão mineral,coal mining,500301 - coal mining
123,500302,Beneficiamento de carvão mineral,Mineral coal processing,500302 - Mineral coal processing
124,600001,Extração de petróleo e gás natural,Oil and natural gas extraction,600001 - Oil and natural gas extraction
125,600002,Extração e beneficiamento de xisto,Shale extraction and processing,600002 - Shale extraction and processing
126,600003,Extração e beneficiamento de areias betuminosas,Extraction and improvement of tar sands,600003 - Extraction and improvement of tar sands
127,710301,Extração de minério de ferro,Iron Ore Extraction,710301 - Iron Ore Extraction
128,710302,"Pelotização, sinterização e outros beneficiamentos de minério de ferro","Pelletizing, sintering and other iron ore processing","710302 - Pelletizing, sintering and other iron ore processing"
129,721901,Extração de minério de alumínio,Aluminum Ore Extraction,721901 - Aluminum Ore Extraction
130,721902,Beneficiamento de minério de alumínio,Aluminum Ore Processing,721902 - Aluminum Ore Processing
131,722701,Extração de minério de estanho,Tin Ore Extraction,722701 - Tin Ore Extraction
132,722702,Beneficiamento de minério de estanho,Tin ore processing,722702 - Tin ore processing
133,723501,Extração de minério de manganês,Manganese Ore Extraction,723501 - Manganese Ore Extraction
134,723502,Beneficiamento de minério de manganês,Manganese ore processing,723502 - Manganese ore processing
135,724301,Extração de minério de metais preciosos,Precious Metal Ore Extraction,724301 - Precious Metal Ore Extraction
136,724302,Beneficiamento de minério de metais preciosos,Precious metals ore processing,724302 - Precious metals ore processing
137,725100,Extração de minerais radioativos,Extraction of radioactive minerals,725100 - Extraction of radioactive minerals
138,729401,Extração de minérios de nióbio e titânio,Extraction of niobium and titanium ores,729401 - Extraction of niobium and titanium ores
139,729402,Extração de minério de tungstênio,Tungsten Ore Extraction,729402 - Tungsten Ore Extraction
140,729403,Extração de minério de níquel,nickel ore extraction,729403 - nickel ore extraction
141,729404,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente","Extraction of copper, lead, zinc and other non-ferrous metallic minerals not otherwise specified","729404 - Extraction of copper, lead, zinc and other non-ferrous metallic minerals not otherwise specified"
142,729405,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não-ferrosos não especificados anteriormente","Processing of copper, lead, zinc ores and other non-ferrous metallic minerals not otherwise specified","729405 - Processing of copper, lead, zinc ores and other non-ferrous metallic minerals not otherwise specified"
143,810001,Extração de ardósia e beneficiamento associado,Slate extraction and associated processing,810001 - Slate extraction and associated processing
144,810002,Extração de granito e beneficiamento associado,Granite extraction and associated processing,810002 - Granite extraction and associated processing
145,810003,Extração de mármore e beneficiamento associado,Marble extraction and associated processing,810003 - Marble extraction and associated processing
146,810004,Extração de calcário e dolomita e beneficiamento associado,Limestone and dolomite extraction and associated processing,810004 - Limestone and dolomite extraction and associated processing
147,810005,Extração de gesso e caulim,Plaster and kaolin extraction,810005 - Plaster and kaolin extraction
148,810006,"Extração de areia, cascalho ou pedregulho e beneficiamento associado","Sand, gravel or gravel extraction and associated processing","810006 - Sand, gravel or gravel extraction and associated processing"
149,810007,Extração de argila e beneficiamento associado,Clay extraction and associated processing,810007 - Clay extraction and associated processing
150,810008,Extração de saibro e beneficiamento associado,Gravel extraction and associated processing,810008 - Gravel extraction and associated processing
151,810009,Extração de basalto e beneficiamento associado,Basalt extraction and associated processing,810009 - Basalt extraction and associated processing
152,810010,Beneficiamento de gesso e caulim associado à extração,Processing of gypsum and kaolin associated with extraction,810010 - Processing of gypsum and kaolin associated with extraction
153,810099,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,Extraction and crushing of stones and other materials for construction and associated processing,810099 - Extraction and crushing of stones and other materials for construction and associated processing
154,891600,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos","Extraction of minerals for the manufacture of fertilizers, fertilizers and other chemical products","891600 - Extraction of minerals for the manufacture of fertilizers, fertilizers and other chemical products"
155,892401,Extração de sal marinho,sea ​​salt extraction,892401 - sea ​​salt extraction
156,892402,Extração de sal-gema,rock salt extraction,892402 - rock salt extraction
157,892403,Refino e outros tratamentos do sal,Refining and other salt treatments,892403 - Refining and other salt treatments
158,893200,Extração de gemas (pedras preciosas e semipreciosas),Gem extraction (precious and semi-precious stones),893200 - Gem extraction (precious and semi-precious stones)
159,899101,Extração de grafita,Graphite Extraction,899101 - Graphite Extraction
160,899102,Extração de quartzo,Quartz Extraction,899102 - Quartz Extraction
161,899103,Extração de amianto,Asbestos extraction,899103 - Asbestos extraction
162,899199,Extração de outros minerais não-metálicos não especificados anteriormente,Extraction of other non-metallic minerals not specified above,899199 - Extraction of other non-metallic minerals not specified above
163,910600,Atividades de apoio à extração de petróleo e gás natural,Support activities for oil and natural gas extraction,910600 - Support activities for oil and natural gas extraction
164,990401,Atividades de apoio à extração de minério de ferro,Support activities for iron ore extraction,990401 - Support activities for iron ore extraction
165,990402,Atividades de apoio à extração de minerais metálicos não-ferrosos,Support activities for the extraction of non-ferrous metallic minerals,990402 - Support activities for the extraction of non-ferrous metallic minerals
166,990403,Atividades de apoio à extração de minerais não-metálicos,Support activities for the extraction of non-metallic minerals,990403 - Support activities for the extraction of non-metallic minerals
167,1011201,Frigorífico - abate de bovinos,Refrigerator - cattle slaughter,1011201 - Refrigerator - cattle slaughter
168,1011202,Frigorífico - abate de eqüinos,Refrigerator - slaughter of horses,1011202 - Refrigerator - slaughter of horses
169,1011203,Frigorífico - abate de ovinos e caprinos,Refrigerator - slaughter of sheep and goats,1011203 - Refrigerator - slaughter of sheep and goats
170,1011204,Frigorífico - abate de bufalinos,Refrigerator - abate de bufalinos,1011204 - Refrigerator - abate de bufalinos
171,1011205,Matadouro - abate de reses sob contrato - exceto abate de suínos,Slaughterhouse - cattle slaughter under contract - except pig slaughter,1011205 - Slaughterhouse - cattle slaughter under contract - except pig slaughter
172,1012101,Abate de aves,Slaughter of birds,1012101 - Slaughter of birds
173,1012102,Abate de pequenos animais,Small animal slaughter,1012102 - Small animal slaughter
174,1012103,Frigorífico - abate de suínos,Refrigerator - pig slaughter,1012103 - Refrigerator - pig slaughter
175,1012104,Matadouro - abate de suínos sob contrato,Slaughterhouse - slaughter of pigs under contract,1012104 - Slaughterhouse - slaughter of pigs under contract
176,1013901,Fabricação de produtos de carne,Manufacturing of meat products,1013901 - Manufacturing of meat products
177,1013902,Preparação de subprodutos do abate,Preparation of slaughter by-products,1013902 - Preparation of slaughter by-products
178,1020101,"Preservação de peixes, crustáceos e moluscos","Preservation of fish, crustaceans and molluscs","1020101 - Preservation of fish, crustaceans and molluscs"
179,1020102,"Fabricação de conservas de peixes, crustáceos e moluscos","Manufacture of fish, crustaceans and mollusc preserves","1020102 - Manufacture of fish, crustaceans and mollusc preserves"
180,1031700,Fabricação de conservas de frutas,Manufacture of fruit preserves,1031700 - Manufacture of fruit preserves
181,1032501,Fabricação de conservas de palmito,Manufacture of canned palm hearts,1032501 - Manufacture of canned palm hearts
182,1032599,"Fabricação de conservas de legumes e outros vegetais, exceto palmito","Manufacture of canned vegetables and other vegetables, except palm hearts","1032599 - Manufacture of canned vegetables and other vegetables, except palm hearts"
183,1033301,"Fabricação de sucos concentrados de frutas, hortaliças e legumes","Manufacture of concentrated fruit, vegetable and vegetable juices","1033301 - Manufacture of concentrated fruit, vegetable and vegetable juices"
184,1033302,"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados","Manufacture of fruit, vegetable and vegetable juices, except concentrates","1033302 - Manufacture of fruit, vegetable and vegetable juices, except concentrates"
185,1041400,"Fabricação de óleos vegetais em bruto, exceto óleo de milho","Manufacture of raw vegetable oils, except corn oil","1041400 - Manufacture of raw vegetable oils, except corn oil"
186,1042200,"Fabricação de óleos vegetais refinados, exceto óleo de milho","Manufacture of refined vegetable oils, except corn oil","1042200 - Manufacture of refined vegetable oils, except corn oil"
187,1043100,Fabricação de margarina e outras gorduras vegetais e de óleos não-comestíveis de animais,Manufacture of margarine and other vegetable fats and non-edible animal oils,1043100 - Manufacture of margarine and other vegetable fats and non-edible animal oils
188,1051100,Preparação do leite,milk preparation,1051100 - milk preparation
189,1052000,Fabricação de laticínios,dairy manufacturing,1052000 - dairy manufacturing
190,1053800,Fabricação de sorvetes e outros gelados comestíveis,Manufacture of ice cream and other edible ice cream,1053800 - Manufacture of ice cream and other edible ice cream
191,1061901,Beneficiamento de arroz,rice processing,1061901 - rice processing
192,1061902,Fabricação de produtos do arroz,Manufacture of rice products,1061902 - Manufacture of rice products
193,1062700,Moagem de trigo e fabricação de derivados,Wheat milling and manufacturing of derivatives,1062700 - Wheat milling and manufacturing of derivatives
194,1063500,Fabricação de farinha de mandioca e derivados,Manufacture of manioc flour and derivatives,1063500 - Manufacture of manioc flour and derivatives
195,1064300,"Fabricação de farinha de milho e derivados, exceto óleos de milho","Manufacture of corn flour and derivatives, except corn oils","1064300 - Manufacture of corn flour and derivatives, except corn oils"
196,1065101,Fabricação de amidos e féculas de vegetais,Manufacture of vegetable starches,1065101 - Manufacture of vegetable starches
197,1065102,Fabricação de óleo de milho em bruto,Manufacture of Crude Corn Oil,1065102 - Manufacture of Crude Corn Oil
198,1065103,Fabricação de óleo de milho refinado,Refined Corn Oil Manufacturing,1065103 - Refined Corn Oil Manufacturing
199,1066000,Fabricação de alimentos para animais,Animal feed manufacturing,1066000 - Animal feed manufacturing
200,1069400,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,Milling and manufacturing of plant-derived products not previously specified,1069400 - Milling and manufacturing of plant-derived products not previously specified
201,1071600,Fabricação de açúcar em bruto,Raw Sugar Manufacturing,1071600 - Raw Sugar Manufacturing
202,1072401,Fabricação de açúcar de cana refinado,Refined Cane Sugar Manufacturing,1072401 - Refined Cane Sugar Manufacturing
203,1072402,Fabricação de açúcar de cereais (dextrose) e de beterraba,Manufacture of cereal sugar (dextrose) and beet,1072402 - Manufacture of cereal sugar (dextrose) and beet
204,1081301,Beneficiamento de café,coffee processing,1081301 - coffee processing
205,1081302,Torrefação e moagem de café,Coffee roasting and grinding,1081302 - Coffee roasting and grinding
206,1082100,Fabricação de produtos à base de café,Manufacture of coffee-based products,1082100 - Manufacture of coffee-based products
207,1091100,Fabricação de produtos de panificação,Manufacturing of bakery products,1091100 - Manufacturing of bakery products
208,1091101,Fabricação de produtos de panificação industrial,Manufacturing of industrial bakery products,1091101 - Manufacturing of industrial bakery products
209,1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Manufacture of bakery and confectionery products with a predominance of own production,1091102 - Manufacture of bakery and confectionery products with a predominance of own production
210,1092900,Fabricação de biscoitos e bolachas,Cracker and Biscuit Manufacturing,1092900 - Cracker and Biscuit Manufacturing
211,1093701,Fabricação de produtos derivados do cacau e de chocolates,Manufacture of cocoa and chocolate products,1093701 - Manufacture of cocoa and chocolate products
212,1093702,"Fabricação de frutas cristalizadas, balas e semelhantes","Manufacture of candied fruits, candies and the like","1093702 - Manufacture of candied fruits, candies and the like"
213,1094500,Fabricação de massas alimentícias,Pasta manufacturing,1094500 - Pasta manufacturing
214,1095300,"Fabricação de especiarias, molhos, temperos e condimentos","Manufacture of spices, sauces, seasonings and condiments","1095300 - Manufacture of spices, sauces, seasonings and condiments"
215,1096100,Fabricação de alimentos e pratos prontos,Manufacturing of ready-to-eat foods and dishes,1096100 - Manufacturing of ready-to-eat foods and dishes
216,1099601,Fabricação de vinagres,Vinegar manufacturing,1099601 - Vinegar manufacturing
217,1099602,Fabricação de pós alimentícios,Manufacturing of food powders,1099602 - Manufacturing of food powders
218,1099603,Fabricação de fermentos e leveduras,Yeast and Yeast Manufacturing,1099603 - Yeast and Yeast Manufacturing
219,1099604,Fabricação de gelo comum,Ordinary ice making,1099604 - Ordinary ice making
220,1099605,"Fabricação de produtos para infusão (chá, mate, etc.)","Manufacture of infusion products (tea, mate, etc.)","1099605 - Manufacture of infusion products (tea, mate, etc.)"
221,1099606,Fabricação de adoçantes naturais e artificiais,Manufacture of natural and artificial sweeteners,1099606 - Manufacture of natural and artificial sweeteners
222,1099607,Fabricação de alimentos dietéticos e complementos alimentares,Manufacture of dietary foods and food supplements,1099607 - Manufacture of dietary foods and food supplements
223,1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,Manufacture of other food products not previously specified,1099699 - Manufacture of other food products not previously specified
224,1111901,Fabricação de aguardente de cana-de-açúcar,Manufacture of sugar cane brandy,1111901 - Manufacture of sugar cane brandy
225,1111902,Fabricação de outras aguardentes e bebidas destiladas,Manufacture of other spirits and spirits,1111902 - Manufacture of other spirits and spirits
226,1112700,Fabricação de vinho,wine making,1112700 - wine making
227,1113501,"Fabricação de malte, inclusive malte uísque","Malt manufacturing, including whiskey malt","1113501 - Malt manufacturing, including whiskey malt"
228,1113502,Fabricação de cervejas e chopes,Brewing beer and draft beer,1113502 - Brewing beer and draft beer
229,1121600,Fabricação de águas envasadas,Manufacture of bottled water,1121600 - Manufacture of bottled water
230,1122401,Fabricação de refrigerantes,Soft drink manufacturing,1122401 - Soft drink manufacturing
231,1122402,Fabricação de chá mate e outros chás prontos para consumo,Manufacture of mate tea and other ready-to-drink teas,1122402 - Manufacture of mate tea and other ready-to-drink teas
232,1122403,"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas","Manufacture of soft drinks, syrups and powders for soft drinks, except fruit soft drinks","1122403 - Manufacture of soft drinks, syrups and powders for soft drinks, except fruit soft drinks"
233,1122404,Fabricação de bebidas isotônicas,Manufacture of isotonic drinks,1122404 - Manufacture of isotonic drinks
234,1122499,Fabricação de outras bebidas não-alcoólicas não especificadas anteriormente,Manufacture of other non-alcoholic beverages not previously specified,1122499 - Manufacture of other non-alcoholic beverages not previously specified
235,1210700,Processamento industrial do fumo,industrial tobacco processing,1210700 - industrial tobacco processing
236,1220401,Fabricação de cigarros,cigarette manufacturing,1220401 - cigarette manufacturing
237,1220402,Fabricação de cigarrilhas e charutos,Making cigarillos and cigars,1220402 - Making cigarillos and cigars
238,1220403,Fabricação de filtros para cigarros,Manufacture of Cigarette Filters,1220403 - Manufacture of Cigarette Filters
239,1220499,"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos","Manufacture of other tobacco products, except cigarettes, cigarillos and cigars","1220499 - Manufacture of other tobacco products, except cigarettes, cigarillos and cigars"
240,1311100,Preparação e fiação de fibras de algodão,Preparation and spinning of cotton fibers,1311100 - Preparation and spinning of cotton fibers
241,1312000,"Preparação e fiação de fibras têxteis naturais, exceto algodão","Preparation and spinning of natural textile fibers, except cotton","1312000 - Preparation and spinning of natural textile fibers, except cotton"
242,1313800,Fiação de fibras artificiais e sintéticas,Spinning of artificial and synthetic fibers,1313800 - Spinning of artificial and synthetic fibers
243,1314600,Fabricação de linhas para costurar e bordar,Manufacture of thread for sewing and embroidering,1314600 - Manufacture of thread for sewing and embroidering
244,1321900,Tecelagem de fios de algodão,Cotton Yarn Weaving,1321900 - Cotton Yarn Weaving
245,1322700,"Tecelagem de fios de fibras têxteis naturais, exceto algodão","Weaving of yarn from natural textile fibers, except cotton","1322700 - Weaving of yarn from natural textile fibers, except cotton"
246,1323500,Tecelagem de fios de fibras artificiais e sintéticas,Yarn weaving of artificial and synthetic fibers,1323500 - Yarn weaving of artificial and synthetic fibers
247,1330800,Fabricação de tecidos de malha,Fabrication of knitted fabrics,1330800 - Fabrication of knitted fabrics
248,1340501,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário","Stamping and texturing on yarns, fabrics, textile artifacts and garments","1340501 - Stamping and texturing on yarns, fabrics, textile artifacts and garments"
249,1340502,"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário","Bleaching, dyeing and twisting yarns, fabrics, textile artifacts and garments","1340502 - Bleaching, dyeing and twisting yarns, fabrics, textile artifacts and garments"
250,1340599,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário","Other finishing services in yarns, fabrics, textile artifacts and garments","1340599 - Other finishing services in yarns, fabrics, textile artifacts and garments"
